{
# 公众号配置
# 公众号appId
"app_id": "wxd5a2de821b0dcba1",
# 公众号appSecret
"app_secret": "acb0d532ad614270314ec26a01271b55",
# 模板消息id
"template_id": "wTuLjNQPtDiQ6naIJysPtSeoO3lakLDygk8M0IZo2ms",
# 接收公众号消息的微信号，如果有多个，需要在[]里用英文逗号间隔，例如["wx1", "wx2"]
"user": ["oXZms6ZdTomaNwKYSWsIzDpvLVMc"],

# 信息配置
# 和风天气apikey
"weather_key": "a2f82f38103c4c08a29f595afbff9c26",
# 天行数据apikey
"tian_api": "deb2903324a7e2801a88e32f0626c601",
# 所在地区，可为省，城市，区，县，同时支持国外城市，例如伦敦(国外城市可能获取不到pm2.5，空气质量，今日建议等数据)
"region": "莱山区",
# 生日
"birthday1": {"name": "小猪崽子", "birthday": "2004-03-24"},
# 在一起的日子，格式同上
"love_date": "2022-12-07",
# 金句中文，如果为空，默认会读取金山的每日金句
"note_ch": "",
# 金句英文
"note_en": ""
}
